epoch,loss,val_loss
1,0.18601883947849274,0.13757769763469696
2,0.08305944502353668,0.03929709270596504
3,0.02396363765001297,0.013371029868721962
4,0.009096830151975155,0.00681332778185606
5,0.004878587555140257,0.005222075618803501
6,0.0033694033045321703,0.004712863825261593
7,0.002760309958830476,0.00336457253433764
8,0.0025152277667075396,0.0029743884224444628
9,0.002336943056434393,0.002645448548719287
10,0.002217803616076708,0.00258745439350605
11,0.0021326937712728977,0.002062486717477441
12,0.0020545385777950287,0.002096650656312704
13,0.0019995092879980803,0.002019386738538742
14,0.0019440542673692107,0.0020423592068254948
15,0.0019224470015615225,0.002121594501659274
16,0.001966958399862051,0.005331371445208788
17,0.001848662388511002,0.0018685567192733288
18,0.0018176413141191006,0.0018723690882325172
19,0.0017888937145471573,0.001772864954546094
20,0.0017631581285968423,0.0017430660082027316
21,0.001739999046549201,0.001721926499158144
22,0.0017232493264600635,0.0017274352721869946
23,0.0017021221574395895,0.0016901105409488082
24,0.0016945222159847617,0.0016788236098363996
25,0.001679668202996254,0.0016912776045501232
26,0.0016645699506625533,0.0017004285473376513
27,0.0016498122131451964,0.0016343616880476475
28,0.0016332892701029778,0.0016310012433677912
29,0.0016109244897961617,0.0016063154907897115
30,0.0015893351519480348,0.00158895633649081
31,0.0015683023957535625,0.0015799783868715167
32,0.0015442166477441788,0.0015655647730454803
33,0.0015559690073132515,0.0015612815041095018
34,0.0015224497765302658,0.0015687522245571017
35,0.0014926482690498233,0.0015423758886754513
36,0.0014785509556531906,0.001487618195824325
37,0.0014333991566672921,0.0014567106263712049
38,0.001414842321537435,0.0014546964084729552
39,0.0013913556467741728,0.0014755908632650971
40,0.0013769407523795962,0.001416663988493383
41,0.0013694331282749772,0.0017038295045495033
42,0.001359919784590602,0.001557807787321508
43,0.001328093116171658,0.001354822888970375
44,0.001308069913648069,0.0013411769177764654
45,0.0012897088890895247,0.0013294083764776587
46,0.0012736410135403275,0.0013193581253290176
47,0.00125575449783355,0.001308878418058157
48,0.0012634178856387734,0.0014130249619483948
49,0.001282154698856175,0.011001084931194782
50,0.0012582681374624372,0.0013114246539771557
51,0.0012297959765419364,0.0013005497166886926
52,0.0012226961553096771,0.0013069454580545425
53,0.001222678809426725,0.0013104825047776103
54,0.0012086512288078666,0.001295109512284398
55,0.0011919760145246983,0.0012805083533748984
56,0.0011764224618673325,0.001294121379032731
57,0.0011851057643070817,0.001334194210357964
58,0.0011610165238380432,0.0012938071740791202
59,0.0011757852043956518,0.001271974528208375
60,0.0011441297829151154,0.0013395118294283748
61,0.0011368999257683754,0.001308624166995287
62,0.001125465496443212,0.0024910378269851208
63,0.0011214757105335593,0.005356126930564642
64,0.001108404714614153,0.0013080742210149765
65,0.0012527145445346832,0.007676274981349707
66,0.001157969469204545,0.0077065639197826385
67,0.0011211996898055077,0.004148807376623154
68,0.0011053686030209064,0.0012998762540519238
69,0.0010914093581959605,0.0012465883046388626
70,0.0010864846408367157,0.0012308432487770915
71,0.0010568767320364714,0.0012310395250096917
72,0.001032159780152142,0.001210439600981772
73,0.0010831468971446157,0.001637956011109054
74,0.0011758786858990788,0.008423167280852795
75,0.001039795228280127,0.0013212927151471376
76,0.0009950329549610615,0.0011933501809835434
77,0.0009599601035006344,0.0012018810957670212
78,0.0009327688021585345,0.001246690982952714
79,0.0009617418982088566,0.0012209310662001371
80,0.0009184426162391901,0.0012524158228188753
81,0.0008911971817724407,0.001213369076140225
82,0.0008516507223248482,0.0012407193426042795
83,0.0008456499199382961,0.0011279744794592261
84,0.0008215145207941532,0.001128150848671794
85,0.0008044330752454698,0.0011607510969042778
86,0.0007885746890679002,0.0011147866025567055
87,0.0007684962474741042,0.0010761142475530505
88,0.0007851622649468482,0.0010915753664448857
89,0.000777137465775013,0.0010901250643655658
90,0.0007488417904824018,0.0010444236686453223
91,0.0007357198046520352,0.0010117713827639818
92,0.0007050143904052675,0.001014374429360032
93,0.0006889390060678124,0.0011924485443159938
94,0.0006828120094724,0.0009672484011389315
95,0.0006893867976032197,0.0009718120563775301
96,0.0006806962774135172,0.0010339169530197978
97,0.0007643554708920419,0.001373762497678399
98,0.0006854691309854388,0.0009538548765704036
99,0.000642213795799762,0.0009702881216071546
100,0.0006230619037523866,0.000939752790145576
