epoch,loss,val_loss
1,0.007252049632370472,0.00420836778357625
2,0.004045133478939533,0.004149042069911957
3,0.003520898288115859,0.003963022492825985
4,0.003009263426065445,0.00364512181840837
5,0.0028111536521464586,0.003272520611062646
6,0.0027033770456910133,0.002904208144173026
7,0.0026240635197609663,0.0027142006438225508
8,0.0025632136967033148,0.0026320642791688442
9,0.0025127765256911516,0.002627540612593293
10,0.0024700758513063192,0.0026058354414999485
11,0.002430914668366313,0.0024962013121694326
12,0.0023903169203549623,0.0024563337210565805
13,0.0023283655755221844,0.002821920206770301
14,0.002181975869461894,0.004175291396677494
15,0.0019178978400304914,0.009254658594727516
16,0.0015665385872125626,0.00672534666955471
17,0.001251059235073626,0.0033553976099938154
18,0.0010714784730225801,0.001790435635484755
19,0.0009474991820752621,0.0010965709807351232
20,0.000873795070219785,0.001042425399646163
21,0.0008149988134391606,0.0009462649468332529
22,0.0007615112117491663,0.0008981189457699656
23,0.0007169184391386807,0.0008712830604054034
24,0.000685363367665559,0.0009106218931265175
25,0.0006499083829112351,0.0008375459001399577
26,0.0006195148453116417,0.0007493241573683918
27,0.0005956009263172746,0.0007109495927579701
28,0.000571731012314558,0.0007128132274374366
29,0.0005478637176565826,0.0006639281054958701
30,0.0005318280891515315,0.0006380935665220022
31,0.000513722188770771,0.000659348675981164
32,0.0005312185967341065,0.000893695221748203
33,0.0005040086107328534,0.0007172671030275524
34,0.0004813077684957534,0.0006109569221735001
35,0.0004624218272510916,0.0005875802016817033
36,0.0004621450207196176,0.000578790029976517
37,0.00044819118920713663,0.0006185290985740721
38,0.0005315811140462756,0.0006544904317706823
39,0.0004207219462841749,0.0005757805774919689
40,0.0004017308237962425,0.0005201620515435934
41,0.0003878283896483481,0.0005108681507408619
42,0.00037841155426576734,0.0005029277526773512
43,0.0003697223437484354,0.0004941464867442846
44,0.0003629028215073049,0.000487800280097872
45,0.00035573868080973625,0.00047315421397797763
46,0.0003465953341219574,0.00046205296530388296
47,0.00034342033904977143,0.0004602832195814699
48,0.00034179125213995576,0.0004790155217051506
49,0.0003337578382343054,0.00045946514001116157
50,0.0003292470646556467,0.00044673169031739235
51,0.00032307393848896027,0.00045251843403093517
52,0.00031786339241079986,0.00046313030179589987
53,0.0003151687269564718,0.00043912208639085293
54,0.0003049035440199077,0.0004223947471473366
55,0.00029825736419297755,0.00041927446727640927
56,0.00029734475538134575,0.00042549826321192086
57,0.00029586395248770714,0.0004356136778369546
58,0.00028960942290723324,0.0004209341132082045
59,0.0002858669904526323,0.0004292041121516377
60,0.0002838296932168305,0.0004218490212224424
61,0.000282456778222695,0.0004085157997906208
62,0.00027670865529216826,0.0003989168908447027
63,0.0002721134515013546,0.0003977705491706729
64,0.00027253347798250616,0.0003919031878467649
65,0.0002635020646266639,0.000391438661608845
66,0.0002609658695291728,0.0003940582391805947
67,0.00025757873663678765,0.0003893195535056293
68,0.00025391808594577014,0.00038445525569841266
69,0.00025849000667221844,0.00039134357939474285
70,0.0002515626256354153,0.00037526729283854365
71,0.0002453641500324011,0.00038173256325535476
72,0.00024483297602273524,0.0003865789622068405
73,0.00024194772413466126,0.00037164962850511074
74,0.0002421674143988639,0.0003651388396974653
75,0.0002340115315746516,0.0003697741776704788
76,0.00023439501819666475,0.00036389974411576986
77,0.00023116990632843226,0.00036664665094576776
78,0.00023447544663213193,0.00039389304583892226
79,0.00022983175585977733,0.0003762615961022675
80,0.00022783632448408753,0.0003597099566832185
81,0.00022350018844008446,0.00035388811375014484
82,0.0002213498519267887,0.00035418904735706747
83,0.00022419853485189378,0.00036355931661091745
84,0.00022348710626829416,0.00036869081668555737
85,0.00022003514459356666,0.000357348209945485
86,0.00021957721037324518,0.000350290589267388
87,0.00021650457347277552,0.0003554308495949954
88,0.00021353000192902982,0.00035817298339679837
89,0.00022806384367868304,0.0004300280415918678
90,0.0002536110987421125,0.001988623756915331
91,0.0002711213019210845,0.00042880274122580886
92,0.0002159989671781659,0.0003469571238383651
93,0.00021127195213921368,0.00034737365785986185
94,0.00020623355521820486,0.0003595495945774019
95,0.00019651766342576593,0.0003292445035185665
96,0.00019328505732119083,0.00033376432838849723
97,0.00019219930982217193,0.0003258914512116462
98,0.0001893053122330457,0.0003364483709447086
99,0.0001893627631943673,0.00033005044679157436
100,0.00018820945115294307,0.0003281332610640675
